Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,concept:instance,lifecycle:transition,concept:name,responsible,department,group,channel
case-10011,Confirmation of receipt - complete,Resource21,2011-10-11 13:45:40.276,Variant 20,20,Group 1,task-42933,complete,Confirmation of receipt,Resource21,General,Group 2,Internet
case-10011,T02 Check confirmation of receipt - complete,Resource10,2011-10-12 08:26:25.398,Variant 20,20,Group 4,task-42935,complete,T02 Check confirmation of receipt,Resource21,General,Group 2,Internet
case-10011,T03 Adjust confirmation of receipt - complete,Resource21,2011-11-24 15:36:51.302,Variant 20,20,Group 1,task-42957,complete,T03 Adjust confirmation of receipt,Resource21,General,Group 2,Internet
case-10011,T02 Check confirmation of receipt - complete,Resource21,2011-11-24 15:37:16.553,Variant 20,20,Group 4,task-47958,complete,T02 Check confirmation of receipt,Resource21,General,Group 2,Internet
case-10017,Confirmation of receipt - complete,Resource30,2011-10-18 13:46:39.679,Variant 31,31,EMPTY,task-43021,complete,Confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T06 Determine necessity of stop advice - complete,Resource30,2011-10-18 13:47:06.950,Variant 31,31,Group 1,task-43672,complete,T06 Determine necessity of stop advice,Resource04,General,Group 5,Internet
case-10017,T02 Check confirmation of receipt - complete,Resource30,2011-10-18 13:47:26.235,Variant 31,31,Group 4,task-43671,complete,T02 Check confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T03 Adjust confirmation of receipt - complete,Resource30,2011-10-18 13:47:41.811,Variant 31,31,Group 1,task-43674,complete,T03 Adjust confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T02 Check confirmation of receipt - complete,Resource30,2011-10-18 13:47:57.979,Variant 31,31,Group 4,task-43675,complete,T02 Check confirmation of receipt,Resource04,General,Group 5,Internet
case-10017,T10 Determine necessity to stop indication - complete,Resource30,2011-10-18 13:48:15.357,Variant 31,31,Group 1,task-43673,complete,T10 Determine necessity to stop indication,Resource04,General,Group 5,Internet
