case:concept:name,observation,time:timestamp
C22062,Send Fine - ,0.0
C22062,Insert Fine Notification - ,0.0
C19060,Create Fine - 45,0.0
S158184,A,0.0
S158181,A,0.0
C22073,A,0.0
C22073,Create Fine - 28,0.0
C19060,A,0.0
C22073,Insert Fine Notification - ,0.0
S158181,Create Fine - 62,0.0
S158184,Create Fine - 62,0.0
C22062,Create Fine - 28,0.0
C22062,A,0.0
C22073,Send Fine - ,0.0
S162646,A,24.0
S157638,Create Fine - 44,24.0
S162385,A,24.0
S162386,A,24.0
S157638,A,24.0
S162567,A,24.0
S162646,Create Fine - 49,24.0
S162567,Create Fine - 52,24.0
S162385,Create Fine - 40,24.0
S162386,Create Fine - 40,24.0
S162656,A,48.0
S162656,Create Fine - 65,48.0
S157371,Create Fine - 43,72.0
S162505,Create Fine - 31,72.0
S161441,A,72.0
S161440,Create Fine - 26,72.0
S162657,A,72.0
S162504,A,72.0
S162504,Create Fine - 31,72.0
S157639,Create Fine - 44,72.0
S162657,Create Fine - 65,72.0
S162505,A,72.0
S161439,Create Fine - 26,72.0
S157639,A,72.0
S157371,A,72.0
S161439,A,72.0
S162648,A,72.0
S162649,A,72.0
S161441,Create Fine - 26,72.0
S161440,A,72.0
S162648,Create Fine - 49,72.0
S162388,A,72.0
S162388,Create Fine - 40,72.0
S162649,Create Fine - 49,72.0
S158131,A,96.0
S162389,A,96.0
S159957,A,96.0
S156277,A,96.0
S155692,A,96.0
S155693,Create Fine - 57,96.0
S158132,A,96.0
S157372,A,96.0
S159957,Create Fine - 56,96.0
S147845,A,96.0
S156275,Create Fine - 46,96.0
S158131,Create Fine - 59,96.0
S157372,Create Fine - 43,96.0
S155692,Create Fine - 57,96.0
S156277,Create Fine - 46,96.0
S158132,Create Fine - 59,96.0
S155693,A,96.0
S147845,Create Fine - 16,96.0
S156275,A,96.0
S162389,Create Fine - 40,96.0
S162701,A,120.0
C20043,Insert Fine Notification - ,120.0
C20043,A,120.0
C22072,A,120.0
C20043,Send Fine - ,120.0
C20043,Create Fine - 24,120.0
C22072,Create Fine - 56,120.0
S162701,Create Fine - 49,120.0
S162508,Create Fine - 31,120.0
S162508,A,120.0
S161473,Create Fine - 63,144.0
S158898,A,144.0
S157641,A,144.0
S157641,Create Fine - 44,144.0
S161473,A,144.0
S158898,Create Fine - 11,144.0
S161447,A,168.0
S162410,A,168.0
S133517,A,168.0
S133516,A,168.0
S161448,A,168.0
S158900,A,168.0
S157675,A,168.0
S161449,Create Fine - 26,168.0
S161449,A,168.0
S161448,Create Fine - 26,168.0
C19060,Insert Fine Notification - ,168.0
S157675,Create Fine - 66,168.0
S162410,Create Fine - 30,168.0
S158900,Create Fine - 11,168.0
S161447,Create Fine - 26,168.0
S133517,Create Fine - 45,168.0
C19060,Send Fine - ,168.0
S133516,Create Fine - 45,168.0
C22072,Insert Fine Notification - ,192.0
C22079,Create Fine - 28,192.0
S157075,Create Fine - 47,192.0
C22072,Send Fine - ,192.0
S156278,Create Fine - 46,192.0
S162509,Create Fine - 31,192.0
S161477,Create Fine - 63,192.0
C22079,A,192.0
S161477,A,192.0
S157075,A,192.0
S156278,A,192.0
S162509,A,192.0
C21966,Insert Fine Notification - ,216.0
C21966,Create Fine - 49,216.0
S161479,Create Fine - 63,216.0
C21966,Send Fine - ,216.0
S162392,Create Fine - 40,216.0
S162393,Create Fine - 40,216.0
S162658,Create Fine - 65,216.0
S162394,Create Fine - 40,216.0
C21966,A,216.0
S162393,A,216.0
S159958,A,216.0
S161479,A,216.0
S162394,A,216.0
S162392,A,216.0
S162658,A,216.0
S159958,Create Fine - 56,216.0
S158186,Create Fine - 62,240.0
S161551,A,240.0
S162345,A,240.0
S161553,A,240.0
S161552,Create Fine - 26,240.0
S161552,A,240.0
S162661,Create Fine - 65,240.0
S161553,Create Fine - 26,240.0
S162661,A,240.0
S158186,A,240.0
S161551,Create Fine - 26,240.0
S162345,Create Fine - 53,240.0
S161558,Create Fine - 26,264.0
S157374,A,264.0
S161558,A,264.0
S157374,Create Fine - 43,264.0
S157080,A,288.0
S157080,Create Fine - 47,288.0
S162712,Create Fine - 49,312.0
S162712,A,312.0
S147847,A,312.0
S162665,A,312.0
S162517,A,312.0
S157643,Create Fine - 44,312.0
S133521,A,312.0
S157643,A,312.0
S162713,A,312.0
S162715,A,312.0
S162664,A,312.0
S162707,A,312.0
S133523,A,312.0
S162708,A,312.0
S162516,A,312.0
S147847,Create Fine - 16,312.0
S162708,Create Fine - 49,312.0
S162519,A,312.0
C22080,A,312.0
S162665,Create Fine - 65,312.0
S133521,Create Fine - 45,312.0
S162516,Create Fine - 31,312.0
S162519,Create Fine - 31,312.0
S162713,Create Fine - 49,312.0
S133523,Create Fine - 45,312.0
S162707,Create Fine - 49,312.0
C22080,Send Fine - ,312.0
C22080,Create Fine - 45,312.0
S162517,Create Fine - 31,312.0
S162715,Create Fine - 49,312.0
S162664,Create Fine - 65,312.0
S161571,A,336.0
S162722,A,336.0
S162718,A,336.0
S162528,A,336.0
S161567,A,336.0
S162726,A,336.0
S161563,A,336.0
S162723,A,336.0
S162717,A,336.0
S162528,Create Fine - 31,336.0
S162529,A,336.0
S161574,A,336.0
S162728,A,336.0
S162525,Create Fine - 31,336.0
S162859,A,336.0
S162858,A,336.0
S162719,A,336.0
S162720,A,336.0
S162525,A,336.0
S162717,Create Fine - 49,336.0
S161574,Create Fine - 26,336.0
S161567,Create Fine - 26,336.0
S162726,Create Fine - 49,336.0
S162521,Create Fine - 31,336.0
S162529,Create Fine - 31,336.0
S162728,Create Fine - 49,336.0
S162719,Create Fine - 49,336.0
S161571,Create Fine - 26,336.0
S162859,Create Fine - 11,336.0
S162858,Create Fine - 11,336.0
S162723,Create Fine - 49,336.0
S162718,Create Fine - 49,336.0
S162722,Create Fine - 49,336.0
S161563,Create Fine - 26,336.0
S162720,Create Fine - 49,336.0
S162521,A,336.0
S161485,A,360.0
S161485,Create Fine - 63,360.0
S162672,A,408.0
S162668,A,408.0
S162734,Create Fine - 49,408.0
S162734,A,408.0
S162733,A,408.0
S162731,A,408.0
S162668,Create Fine - 65,408.0
S162732,A,408.0
S162732,Create Fine - 49,408.0
S162731,Create Fine - 49,408.0
S162672,Create Fine - 65,408.0
S162733,Create Fine - 49,408.0
S159271,Create Fine - 58,456.0
S159272,Create Fine - 58,456.0
S159271,A,456.0
S159272,A,456.0
S162957,A,480.0
S162534,A,480.0
